cid,isosmiles,mw,polararea,complexity,heavycnt,hbonddonor,hbondacc,rotbonds,mp
4690,CN1C(=O)N(OC1=O)C2=CC(=C(C=C2)Cl)Cl,261.06,49.8,326.0,16,0,3,1,123.0
4696,C1C=C2C(=CC(=O)O2)C(O1)O,154.12,55.8,264.0,11,1,4,0,111.0
4727,CC(C)(C(C(=O)O)N)S,149.21,64.3,124.0,9,3,4,2,198.5
4737,CCCC(C)C1(C(=O)NC(=O)NC1=O)CC,226.27,75.3,305.0,16,2,3,4,129.67
4740,CC(=O)CCCCN1C(=O)C2=C(N=CN2C)N(C1=O)C,278.31,75.5,426.0,20,0,4,5,105.0
4744,CN1CCN(CC1)CCCN2C3=CC=CC=C3SC4=CC=CC=C42,339.5,35.0,374.0,24,0,4,4,52.0
4747,C1CN(CCC1O)CCCN2C3=CC=CC=C3SC4=C2C=C(C=C4)C#N,365.5,75.8,513.0,26,1,5,4,116.5
4748,C1CN(CCN1CCCN2C3=CC=CC=C3SC4=C2C=C(C=C4)Cl)CCO,404.0,55.2,463.0,27,1,5,6,97.0
4753,C1=CC=C(C=C1)CC(=O)NC(=O)N,178.19,72.2,198.0,13,2,2,2,215.0
4754,CCOC1=CC=C(C=C1)NC(=O)C,179.22,38.3,162.0,13,1,2,3,137.5
4756,C1=CC=C(C=C1)N=NC2=C(N=C(C=C2)N)N,213.24,89.6,237.0,16,2,5,2,139.0
4757,C1=CC=C2C(=C1)N=C3C=CC=CC3=N2,180.2,25.8,163.0,14,0,2,0,176.5
4760,C1=CC=C(C=C1)C2C(=O)C3=CC=CC=C3C2=O,222.24,34.1,304.0,17,0,2,1,150.0
4762,CC1C(OCCN1)C2=CC=CC=C2,177.24,21.3,154.0,13,1,2,1,139.0
4763,CCC1(C(=O)NC(=O)NC1=O)C2=CC=CC=C2,232.23,75.3,339.0,17,2,3,2,174.0
4764,C1=CC=C2C(=C1)C(=O)OC2(C3=CC=C(C=C3)O)C4=CC=C(C=C4)O,318.3,66.8,438.0,24,2,4,2,262.5
4768,CC(COC1=CC=CC=C1)N(CCCl)CC2=CC=CC=C2,303.8,12.5,262.0,21,0,2,8,39.0
4770,C1=CC=C(C=C1)CCCOC(=O)N,179.22,52.3,153.0,13,1,2,5,102.0
4771,CC(C)(CC1=CC=CC=C1)N,149.23,26.0,112.0,11,1,1,2,205.0
4775,C1=CC=C(C=C1)CCCC(=O)O,164.2,37.3,137.0,12,1,2,4,52.0
4778,C1=CC=C(C=C1)[As]=O,168.02,17.1,76.6,8,0,1,0,145.0
4780,C1=CC=C(C=C1)N=C(N)N=C(N)N,177.21,103.0,211.0,13,3,1,2,143.0
4781,CCCCC1C(=O)N(N(C1=O)C2=CC=CC=C2)C3=CC=CC=C3,308.4,40.6,389.0,23,0,2,5,105.0
4784,C1=CC=C(C=C1)CS(=O)(=O)F,174.19,42.5,199.0,11,0,3,2,93.0
4788,C1=CC(=CC=C1CCC(=O)C2=C(C=C(C=C2O)O)O)O,274.27,98.0,312.0,20,4,5,4,263.5
4790,CCOP(=S)(OCC)SCSCC,260.399,101.0,156.0,13,0,5,8,-42.9
4794,CP(=O)(CCC(C(=O)O)N)O,181.13,101.0,193.0,11,3,5,4,215.0
4806,C1=CC=C(C(=C1)C(=O)NC2=CC=C(C=C2)S(=O)(=O)NC3=NC=CS3)C(=O)O,403.4,162.0,643.0,27,3,8,6,273.0
4807,C1=CC=C(C(=C1)C=O)C=O,134.13,34.1,115.0,10,0,2,2,56.03
4814,COC1=C(C=C(C=C1)C(=O)NCC2=CN=CC=C2)C(=O)NCC3=CN=CC=C3,376.4,93.2,516.0,28,2,5,7,124.0
4825,COC1=C(C2=C(C=CO2)C3=C1C=CC(=O)O3)OC,246.21,57.9,366.0,18,0,5,2,119.0
4828,CC(C)NCC(COC1=CC=CC2=C1C=CN2)O,248.32,57.3,248.0,18,3,3,6,171.0
4831,CCN1C=C(C(=O)C2=CN=C(N=C21)N3CCNCC3)C(=O)O,303.32,98.7,489.0,22,2,8,3,254.0
4837,C1CNCCN1,86.14,24.1,26.5,6,2,2,0,106.0
4843,C1CC(=O)N(C1)CC(=O)N,142.16,63.4,167.0,10,1,2,2,152.0
4850,C1CN(CCN1CC2=CC3=C(C=C2)OCO3)C4=NC=CC=N4,298.34,50.7,356.0,22,0,6,3,98.0
4855,CCN1C=C(C(=O)C2=CN=C(N=C21)N3CCCC3)C(=O)O,288.3,86.6,473.0,21,1,7,3,315.0
4873,[Cl-].[K+],74.55,0.0,2.0,2,0,1,0,771.0
4875,[K+].[I-],166.002,0.0,2.0,2,0,1,0,681.0
4883,CC(C)NCC(COC1=CC=C(C=C1)NC(=O)C)O,266.34,70.6,263.0,19,3,4,7,135.0
4890,C1CC1CN2C(=O)CN=C(C3=C2C=CC(=C3)Cl)C4=CC=CC=C4,324.8,32.7,482.0,23,0,2,3,145.5
4891,C1CCC(CC1)C(=O)N2CC3C4=CC=CC=C4CCN3C(=O)C2,312.4,40.6,472.0,23,0,2,1,136.0
4893,COC1=C(C=C2C(=C1)C(=NC(=N2)N3CCN(CC3)C(=O)C4=CC=CO4)N)OC,383.4,107.0,544.0,28,1,8,4,279.0
4904,C1CCN(CC1)CCC(C2=CC=CC=C2)(C3=CC=CC=C3)O,295.4,23.5,294.0,22,1,2,5,120.5
4906,CCCNC(C)C(=O)NC1=CC=CC=C1C,220.31,41.1,218.0,16,2,2,5,37.5
4909,CCC1(C(=O)NCNC1=O)C2=CC=CC=C2,218.25,58.2,279.0,16,2,2,2,281.5
